VoteChoice,Keywords
Very nice store. Co operative and excellent staff ,"[('staff', 0.4869), ('store', 0.4011), ('operative', 0.3273)]"
Superb collection ?? ,"[('collection', 0.6257), ('superb', 0.5347)]"
Very good service  ,"[('service', 0.5967), ('good', 0.3583)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Tshirts with design not so simple designed clothes are very nice to look..,"[('tshirts', 0.7274), ('clothes', 0.4962), ('design', 0.3277)]"
Very nice collection,"[('collection', 0.6483), ('nice', 0.3628)]"
More varieties in shirts. ,"[('shirts', 0.739), ('varieties', 0.4677)]"
Product cost heigh offers budgeted range of brand .,"[('cost', 0.5257), ('budgeted', 0.4859), ('brand', 0.4412)]"
Ok,"[('ok', 1.0)]"
No improvement needed ,"[('improvement', 0.7665), ('needed', 0.3013)]"
Increase your shirt variety and more colours    ,"[('shirt', 0.566), ('colours', 0.4217), ('increase', 0.3633)]"
It was good experience ,"[('experience', 0.6515), ('good', 0.3231)]"
Service was good nice they answered all my questions and the clothes fit were perfect,"[('service', 0.4441), ('clothes', 0.3897), ('fit', 0.3607)]"
Levi’S  I like You  Nice ,"[('levi', 0.6346), ('like', 0.2814), ('nice', 0.238)]"
D,[]
Bablu gave great assistance ,"[('bablu', 0.7103), ('assistance', 0.3549), ('gave', 0.2519)]"
Good,"[('good', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Good service heldfull staff excellent explanation about chlotgs??,"[('chlotgs', 0.6083), ('staff', 0.4329), ('service', 0.3737)]"
Thnx hoshng,"[('hoshng', 0.7901), ('thnx', 0.6383)]"
Service was superb ??,"[('service', 0.5578), ('superb', 0.45)]"
Good experience good staff ,"[('staff', 0.645), ('experience', 0.5111), ('good', 0.1995)]"
Great service by the staff. Nice products overall,"[('service', 0.4914), ('staff', 0.3975), ('products', 0.3341)]"
Good ,"[('good', 1.0)]"
Mayur was really helpful with my shopping ,"[('mayur', 0.7386), ('shopping', 0.3706), ('helpful', 0.3533)]"
Nice service ,"[('service', 0.607), ('nice', 0.401)]"
Staff was very nice and helpful. Nice collection ,"[('staff', 0.6528), ('collection', 0.4156), ('helpful', 0.2806)]"
Pinkal is very good,"[('pinkal', 0.7461), ('good', 0.0952)]"
Good,"[('good', 1.0)]"
Increase the variations ,"[('variations', 0.7958), ('increase', 0.502)]"
Very good,"[('good', 0.7071)]"
good  ,"[('good', 1.0)]"
very Good,"[('good', 0.7071)]"
Staff change kar do,"[('kar', 0.5851), ('staff', 0.5291), ('change', 0.3934)]"
"Afreen assisted me in my purchase, excellent service. Keep it up .","[('afreen', 0.5034), ('service', 0.4097), ('excellent', 0.2678)]"
????,[]
Very nice material Levi's ,"[('levi', 0.611), ('material', 0.5394), ('nice', 0.2291)]"
Rahul Gangawane is very soft spoken and good sales person. My purchase one of the point is his good attitude!,"[('rahul', 0.5373), ('gangawane', 0.4752), ('sales', 0.2782)]"
Good ,"[('good', 1.0)]"
Bablu was fantastic person he was very good in sale  ,"[('bablu', 0.5856), ('sale', 0.2697), ('person', 0.185)]"
Nothing... happy with Levi's jeans ,"[('jeans', 0.6966), ('levi', 0.5625), ('happy', 0.2183)]"
Good ,"[('good', 1.0)]"
Jitendra Soni was very helpful,"[('jitendra', 0.476), ('soni', 0.3535), ('helpful', 0.3042)]"
Staff behaviour are ver good,"[('staff', 0.6814), ('behaviour', 0.4414), ('ver', 0.2078)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Good ,"[('good', 1.0)]"
Levi's staff were super helpful and friendly! Made my shopping experience awesome ??,"[('levi', 0.4072), ('staff', 0.332), ('shopping', 0.3087)]"
Good ,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Good experience.. ,"[('experience', 0.5958), ('good', 0.2878)]"
All good,"[('good', 0.4393)]"
Very nice ??,"[('nice', 0.4165)]"
Good ,"[('good', 1.0)]"
Good nd nice stock and staff also,"[('stock', 0.5109), ('nd', 0.4383), ('staff', 0.4367)]"
great ,"[('great', 1.0)]"
Mehul bhai's service is very good. ,"[('bhai', 0.6499), ('mehul', 0.4782), ('service', 0.3583)]"
Good service  ,"[('service', 0.6827), ('good', 0.4384)]"
Good shopping experience ,"[('shopping', 0.6888), ('experience', 0.5133), ('good', 0.2199)]"
Good ,"[('good', 1.0)]"
All good,"[('good', 0.4393)]"
Excellent,"[('excellent', 1.0)]"
Siddharth was excellent at store,"[('siddharth', 0.658), ('store', 0.3765), ('excellent', 0.1673)]"
Ok        ,"[('ok', 1.0)]"
"Billing systems should improve, Pl. Submit receipt on the spot not on mail I'd. ","[('billing', 0.5861), ('receipt', 0.5443), ('mail', 0.4239)]"
Thanks viplesh,"[('viplesh', 0.7544), ('thanks', 0.4569)]"
Shefali was a good sales person and helped us get our clothes well  Keep it up !!!,"[('shefali', 0.6142), ('sales', 0.3322), ('clothes', 0.2743)]"
Darshhita Patel good service  ,"[('patel', 0.696), ('darshhita', 0.6681), ('service', 0.3692)]"
Good,"[('good', 1.0)]"
.,[]
Nice,"[('nice', 1.0)]"
Very good service ,"[('service', 0.5967), ('good', 0.3583)]"
Jyoti was extremely helpful and patient. She showed us different styles. Great shopping experience. ,"[('jyoti', 0.5564), ('styles', 0.2781), ('experience', 0.2393)]"
Good,"[('good', 1.0)]"
Excellent service ,"[('service', 0.6481), ('excellent', 0.5238)]"
Great work!,"[('great', 0.3577), ('work', 0.3007)]"
Good ,"[('good', 1.0)]"
Very polite and good Support to choose cloth,"[('cloth', 0.6419), ('polite', 0.4697), ('support', 0.287)]"
Good,"[('good', 1.0)]"
very good service ,"[('service', 0.5967), ('good', 0.3583)]"
More discount ,"[('discount', 0.8989)]"
Niket was really good at showing us all the products..and we did buy few denims.,"[('denims', 0.604), ('niket', 0.5515), ('products', 0.3559)]"
Ok,"[('ok', 1.0)]"
Very quick service,"[('service', 0.6413), ('quick', 0.4835)]"
"Everything is good, your team are really good specially Esther is really friendly and helpful ","[('esther', 0.4209), ('friendly', 0.3944), ('team', 0.3099)]"
I like the Store ,"[('store', 0.6661), ('like', 0.2319)]"
"Good service by faizan, fast alteration and service","[('faizan', 0.586), ('service', 0.5345), ('alteration', 0.3453)]"
Good services.,"[('services', 0.6893), ('good', 0.3241)]"
"Wow  Great team and good collaboration  The offer is really interesting ,  Thank you ","[('collaboration', 0.3943), ('team', 0.3125), ('offer', 0.3013)]"
Good,"[('good', 1.0)]"
Proved chair for customer.. ,"[('chair', 0.6086), ('customer', 0.4839), ('proved', 0.432)]"
Its already good ,"[('good', 0.3708)]"
Quality 10 and staff best ,"[('staff', 0.5955), ('quality', 0.5667), ('10', 0.3237)]"
Good,"[('good', 1.0)]"
Staff is really cooperative. I am satisfied with the service. ,"[('cooperative', 0.5601), ('staff', 0.5147), ('service', 0.4074)]"
Yusuf was nice experience and product kno6very helpfull thank you ,"[('yusuf', 0.5333), ('helpfull', 0.326), ('product', 0.3224)]"
Good ,"[('good', 1.0)]"
Great,"[('great', 1.0)]"
Should have more collection of shirts ,"[('shirts', 0.7473), ('collection', 0.5022)]"
Always have an awsum buying experience ! Dharam bhai has shown us a good options with needed style products,"[('style', 0.3189), ('products', 0.2933), ('bhai', 0.2837)]"
Nice ,"[('nice', 1.0)]"
Excellent,"[('excellent', 1.0)]"
Super....??????????,"[('super', 0.6939)]"
Very impressing fitting as well as service  ,"[('fitting', 0.531), ('service', 0.3853), ('impressing', 0.3591)]"
Good,"[('good', 1.0)]"
Nice,"[('nice', 1.0)]"
More t - shirts ,"[('shirts', 0.7397)]"
Good service pankaj,"[('pankaj', 0.784), ('service', 0.4969), ('good', 0.2707)]"
Nice fitting ,"[('fitting', 0.7255), ('nice', 0.4321)]"
Good quality,"[('quality', 0.798), ('good', 0.4521)]"
Excellent product ,"[('excellent', 0.6385), ('product', 0.637)]"
Staff was very cooperative ,"[('cooperative', 0.6368), ('staff', 0.5936)]"
Nice,"[('nice', 1.0)]"
Northing......everything is good,"[('northing', 0.8044), ('good', 0.2443)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Anil was too good,"[('anil', 0.7533), ('good', 0.1853)]"
First class,"[('class', 0.7505)]"
Good service by the sales Rep (Akhil)... Great experience ,"[('akhil', 0.4788), ('service', 0.4728), ('sales', 0.468)]"
"Very agood experience. Special mention for your sales executive Asha at linking road store, Mumbai. She was superb","[('mumbai', 0.4319), ('asha', 0.3513), ('experience', 0.3483)]"
Good rewati well done,"[('rewati', 0.7282), ('good', 0.3082)]"
Good rewati,"[('rewati', 0.8216), ('good', 0.417)]"
Good rewati,"[('rewati', 0.8216), ('good', 0.417)]"
Good and professional staff  Overall good experience ,"[('staff', 0.6095), ('professional', 0.4661), ('experience', 0.4437)]"
Good  ,"[('good', 1.0)]"
Your sales team is very supportive  Tosif is very good sales man with good knowledge of product.,"[('tosif', 0.6122), ('sales', 0.3604), ('supportive', 0.2709)]"
Good,"[('good', 1.0)]"
Better deals ,"[('deals', 0.7901), ('better', 0.4497)]"
The Collection Is Fantastic…??,"[('collection', 0.5674), ('fantastic', 0.3108)]"
Good ??????  ,"[('good', 0.4801)]"
May be More fitting rooms to save time . ,"[('rooms', 0.6565), ('fitting', 0.2401), ('save', 0.1767)]"
Sizes,"[('sizes', 1.0)]"
Good sarvice,"[('sarvice', 0.8547), ('good', 0.2977)]"
,[]
Good,"[('good', 1.0)]"
Great collection  Good deals ,"[('collection', 0.5662), ('deals', 0.5532), ('great', 0.253)]"
Good,"[('good', 1.0)]"
Thank you ??,"[('thank', 0.4781)]"
very good superb ,"[('superb', 0.7447), ('good', 0.4174)]"
"Mr. Vinay has a great knowledge of fashion, he suggested me various options among the collection. I appreciate his efforts and made my purchase an easy task.","[('fashion', 0.5418), ('vinay', 0.402), ('collection', 0.3227)]"
Exercise product ,"[('exercise', 0.7549), ('product', 0.5144)]"
Good ?? ,"[('good', 0.6013)]"
Excellent ,"[('excellent', 1.0)]"
Good,"[('good', 1.0)]"
My Experience is good I don't need any thing because your are perfect  ,"[('experience', 0.3769), ('perfect', 0.2155), ('need', 0.205)]"
Great job ?? ,"[('great', 0.4284), ('job', 0.3993)]"
Excellent customer service .. Ether at the service desk was very helpful,"[('ether', 0.4274), ('service', 0.3957), ('customer', 0.3896)]"
Awesome brand  ,"[('brand', 0.7805), ('awesome', 0.39)]"
Ugguu ,"[('ugguu', 1.0)]"
Gud service ,"[('gud', 0.8047), ('service', 0.6053)]"
Good expression ,"[('expression', 0.6777), ('good', 0.3854)]"
Very good service  ,"[('service', 0.5967), ('good', 0.3583)]"
More product portfolio as available at metro cities ,"[('portfolio', 0.5038), ('metro', 0.45), ('cities', 0.3675)]"
Good ,"[('good', 1.0)]"
Very Satisfied ,"[('satisfied', 0.8601)]"
Very nice experience raj ,"[('raj', 0.5966), ('experience', 0.4905), ('nice', 0.2864)]"
"I am very happy with my shopping experience in the store. I would like to extend my heartfelt gratitude and appreciation for Santhosh who helped us find the exact fit and shade that we were looking for.  Thank you Levis, Santhosh and the store crew.  ","[('santhosh', 0.5616), ('shade', 0.3241), ('store', 0.3201)]"
Good ,"[('good', 1.0)]"
good,"[('good', 1.0)]"
Ok,"[('ok', 1.0)]"
Excellent service,"[('service', 0.6481), ('excellent', 0.5238)]"
Very polite and Supportive staff ,"[('staff', 0.5965), ('polite', 0.5475), ('supportive', 0.4718)]"
Khub Saras Rajeshbhai ,"[('rajeshbhai', 0.7811), ('khub', 0.6974), ('saras', 0.5102)]"
Good  ,"[('good', 1.0)]"
Hardik,"[('hardik', 1.0)]"
Good service by Darshita patel,"[('patel', 0.5339), ('service', 0.4578), ('darshita', 0.4221)]"
Fittings good and comfortable ?? ?? ,"[('fittings', 0.6466), ('comfortable', 0.5811), ('good', 0.0535)]"
Good,"[('good', 1.0)]"
Good style clothes cool rates,"[('clothes', 0.5386), ('rates', 0.5106), ('style', 0.3448)]"
Every is great ,"[('great', 0.3591)]"
Good service by hemangi ,"[('hemangi', 0.6722), ('service', 0.4925), ('good', 0.2003)]"
Very good service ,"[('service', 0.5967), ('good', 0.3583)]"
Viplavesh... Thank you?? for good service,"[('viplavesh', 0.784), ('service', 0.3905), ('thank', 0.2435)]"
Good,"[('good', 1.0)]"
Good ??,"[('good', 0.6013)]"
Thanks,"[('thanks', 1.0)]"
Very good,"[('good', 0.7071)]"
Satisfied ,"[('satisfied', 1.0)]"
Nice work ,"[('nice', 0.5778), ('work', 0.4157)]"
Very Good ,"[('good', 0.7071)]"
Good ,"[('good', 1.0)]"
Nice,"[('nice', 1.0)]"
Very good ,"[('good', 0.7071)]"
Good customer service and friendly staff ?? I would suggest  ?? ,"[('customer', 0.464), ('staff', 0.461), ('service', 0.4108)]"
Mitesh Makwana - nice experience ,"[('makwana', 0.7599), ('mitesh', 0.4612), ('experience', 0.2805)]"
Good service .,"[('service', 0.5796), ('good', 0.4137)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Thnx renuka,"[('renuka', 0.8208), ('thnx', 0.4648)]"
Faisal ,"[('faisal', 1.0)]"
Good servis by nikith,"[('servis', 0.5778), ('nikith', 0.4714), ('good', 0.149)]"
Everything was perfect ,"[('perfect', 0.4702)]"
Very Good Service...,"[('service', 0.513), ('good', 0.2589)]"
"Dear, Rajesh bhai Staff cooperation was nice. Thank you,  KAMLESH RAY","[('bhai', 0.604), ('rajesh', 0.4514), ('staff', 0.3627)]"
Mitesh gods ,"[('mitesh', 0.7763), ('gods', 0.6152)]"
Good,"[('good', 1.0)]"
Few pattern options.. please add new trends in collection ,"[('trends', 0.5625), ('pattern', 0.4545), ('collection', 0.4429)]"
Best  service and price ,"[('service', 0.6002), ('price', 0.473), ('best', 0.3436)]"
Add cargo to collection ,"[('cargo', 0.6045), ('collection', 0.5193), ('add', 0.1562)]"
Yarnon is excellent ???? he is the best ????????????,"[('yarnon', 0.7274), ('best', 0.2589), ('excellent', 0.1992)]"
Good service by vinay,"[('vinay', 0.5424), ('service', 0.5295), ('good', 0.1807)]"
Too good and kind service ,"[('service', 0.6139), ('kind', 0.381), ('good', 0.2276)]"
Very good ,"[('good', 0.7071)]"
All good  Thanks ,"[('thanks', 0.2615), ('good', 0.2193)]"
Keep all the styles ,"[('styles', 0.7644)]"
Keep more styles for women ,"[('styles', 0.646), ('women', 0.4931)]"
Janice was very helpful !,"[('janice', 0.7211), ('helpful', 0.3539)]"
Very nice service  ,"[('service', 0.5779), ('nice', 0.3237)]"
Very good,"[('good', 0.7071)]"
Good collection ,"[('collection', 0.7376), ('good', 0.3926)]"
"very, very, very, very, very good","[('good', 0.3328)]"
More no. of fitting styles,"[('styles', 0.6733), ('fitting', 0.5451)]"
Thnx,"[('thnx', 1.0)]"
Good,"[('good', 1.0)]"
Excellent staff behavior. Mahendra singh ,"[('singh', 0.5496), ('staff', 0.5014), ('mahendra', 0.4484)]"
Superb service by darshita,"[('darshita', 0.5748), ('service', 0.4477), ('superb', 0.4396)]"
Always feel special.  Thanks??,"[('special', 0.3975), ('feel', 0.2911), ('thanks', 0.1431)]"
Experience was so good as always  And we had great service by pinks Purohit and other staffs too ,"[('experience', 0.4912), ('service', 0.432), ('staffs', 0.3909)]"
Ok,"[('ok', 1.0)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Best service and best collection ,"[('collection', 0.5747), ('service', 0.5134), ('best', 0.3835)]"
Good ,"[('good', 1.0)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good,"[('good', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Very good ,"[('good', 0.7071)]"
Nothing ,[]
Good,"[('good', 1.0)]"
"Please make more shades for women like grey, bottle green , dark brown","[('shades', 0.5911), ('green', 0.4634), ('grey', 0.4595)]"
Everything’s perfect.,"[('perfect', 0.4887)]"
Good service by nikith sharma,"[('service', 0.5419), ('nikith', 0.3919), ('sharma', 0.3563)]"
Staff is good n cooperative ,"[('staff', 0.6673), ('cooperative', 0.6112), ('good', 0.1519)]"
Nothing ,[]
Just make it but cheaper,"[('cheaper', 0.5012), ('make', 0.4768), ('just', 0.2473)]"
Good rewati,"[('rewati', 0.8216), ('good', 0.417)]"
????,[]
Superb service by deepak,"[('deepak', 0.4983), ('service', 0.4713), ('superb', 0.4379)]"
Excellent ,"[('excellent', 1.0)]"
Anil give a best service ,"[('anil', 0.6431), ('service', 0.5929), ('best', 0.3008)]"
Very goid service by levis team,"[('levis', 0.5404), ('goid', 0.4622), ('service', 0.4099)]"
Super ?? services ,"[('super', 0.6342), ('services', 0.6171)]"
Provided good service and assistance...just expecting more collections for Polo kind of Tshirts from Levis,"[('tshirts', 0.547), ('levis', 0.4398), ('polo', 0.4339)]"
Yusuf is an experienced sales executive- he understood the pattern that I was looking for and showed the stuff according to my interest. ,"[('yusuf', 0.6274), ('sales', 0.4171), ('pattern', 0.3202)]"
Ok,"[('ok', 1.0)]"
E evelle t service by Majid bhai  So happy,"[('bhai', 0.5472), ('service', 0.4241), ('majid', 0.376)]"
Good luck ,"[('luck', 0.6253), ('good', 0.4132)]"
Collection should be more trendy and should have more options to select from. ,"[('collection', 0.6088), ('options', 0.3301), ('trendy', 0.2968)]"
Superb service by darshita,"[('darshita', 0.5748), ('service', 0.4477), ('superb', 0.4396)]"
All good,"[('good', 0.4393)]"
.. ,[]
Nothing. All things good ,"[('things', 0.4944), ('good', 0.3795)]"
Sales service and overall staff good ,"[('sales', 0.604), ('staff', 0.5137), ('service', 0.4255)]"
Good service,"[('service', 0.6827), ('good', 0.4384)]"
Add printed shirts in gents collection ,"[('shirts', 0.5942), ('printed', 0.4728), ('gents', 0.4597)]"
The staff is very cooperative with nice collection ,"[('staff', 0.586), ('cooperative', 0.4989), ('collection', 0.4738)]"
Superb,"[('superb', 1.0)]"
-,[]
You have the best sales people that I have come across so far here in india. As an international tourist I very much enjoyed shopping at your store. The lady who helped me did her best to accommodate me. Once again thank you very much ,"[('sales', 0.4674), ('shopping', 0.4381), ('india', 0.3654)]"
Good,"[('good', 1.0)]"
Wonderful!,"[('wonderful', 0.8443)]"
Staff was very polite ,"[('staff', 0.6085), ('polite', 0.5889)]"
Good,"[('good', 1.0)]"
Good service by sonu,"[('sonu', 0.5944), ('service', 0.4692), ('good', 0.1653)]"
Very good experience  ,"[('experience', 0.6577), ('good', 0.3294)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Very good experience,"[('experience', 0.6577), ('good', 0.3294)]"
All things are improved. ,"[('improved', 0.6687), ('things', 0.4061)]"
bring oversized tshirts and shirts,"[('tshirts', 0.6116), ('shirts', 0.577), ('oversized', 0.5333)]"
Add some more variety of shirts to store,"[('shirts', 0.7142), ('store', 0.4456), ('variety', 0.2773)]"
Nothing ,[]
More collection,"[('collection', 0.8485)]"
Ultimate staff ,"[('staff', 0.7551), ('ultimate', 0.601)]"
Nice ,"[('nice', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
It was a great experience Asha was very kind and helpful ,"[('experience', 0.4377), ('asha', 0.4167), ('helpful', 0.27)]"
Everything is great.. Thanks to Afreen and sumera… :-) ,"[('sumera', 0.3925), ('thanks', 0.3327), ('afreen', 0.3309)]"
Happy ,"[('happy', 1.0)]"
Nic,"[('nic', 1.0)]"
. ,[]
.,[]
Good,"[('good', 1.0)]"
Ok,"[('ok', 1.0)]"
Excellent,"[('excellent', 1.0)]"
Good quality,"[('quality', 0.798), ('good', 0.4521)]"
Very nice staff ,"[('staff', 0.7464), ('nice', 0.3057)]"
Excellent  ,"[('excellent', 1.0)]"
Had a good experience with Mitesh Makwana ,"[('makwana', 0.7394), ('mitesh', 0.4078), ('experience', 0.2726)]"
Excellent service   ,"[('service', 0.6481), ('excellent', 0.5238)]"
Thank you very much for helping in selection rajesh rathod was very helping ...thank you :),"[('selection', 0.4232), ('rajesh', 0.4155), ('rathod', 0.3682)]"
????? ??? ????? ?? ????? ???????? ?????? ,[]
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Excellent choices,"[('choices', 0.7107), ('excellent', 0.5593)]"
Exelent service staff,"[('staff', 0.5533), ('exelent', 0.5268), ('service', 0.4738)]"
Staff and clothes everything is good.,"[('staff', 0.5856), ('clothes', 0.5389), ('good', 0.1406)]"
Good,"[('good', 1.0)]"
Nice jeans,"[('jeans', 0.7962), ('nice', 0.3473)]"
No ,[]
"I loved the nature of the staff and all the infrastructure looks adequately beautifull , ","[('infrastructure', 0.4428), ('staff', 0.4427), ('beautifull', 0.2992)]"
Good,"[('good', 1.0)]"
Luxurious collection,"[('luxurious', 0.7885), ('collection', 0.6147)]"
It was good ,"[('good', 0.5784)]"
Shakil bhai good service always ,"[('bhai', 0.6283), ('shakil', 0.623), ('service', 0.4369)]"
,[]
Nice staff ,"[('staff', 0.7899), ('nice', 0.3611)]"
Exilent ,"[('exilent', 1.0)]"
Good ,"[('good', 1.0)]"
Too good experience ,"[('experience', 0.7024), ('good', 0.2792)]"
Keep all sizes ,"[('sizes', 0.6383)]"
Mehul bhai is best for service  I love levis,"[('bhai', 0.5957), ('mehul', 0.5407), ('levis', 0.529)]"
The overall experience was very satisfying ??,"[('satisfying', 0.5414), ('experience', 0.5178), ('overall', 0.3131)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Best collection ,"[('collection', 0.8068), ('best', 0.4773)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good,"[('good', 1.0)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Well designed and classic clothes likes it so much ?? ,"[('clothes', 0.4764), ('designed', 0.2848), ('likes', 0.1786)]"
It was a good experience ,"[('experience', 0.5943), ('good', 0.3121)]"
Fantabulous collections,"[('fantabulous', 0.7167), ('collections', 0.6217)]"
Good service Very humble ,"[('humble', 0.6076), ('service', 0.6062), ('good', 0.2436)]"
Yusuf was great helping me do the shopping. ,"[('yusuf', 0.7151), ('shopping', 0.3845), ('helping', 0.2595)]"
Black jeans it got fade ,"[('jeans', 0.6918), ('fade', 0.6235), ('black', 0.4668)]"
Thanks so much team nd store nice,"[('nd', 0.4657), ('store', 0.3467), ('thanks', 0.3336)]"
Bablu,"[('bablu', 1.0)]"
Excellent service by shivraj patil.,"[('shivraj', 0.5354), ('service', 0.4594), ('patil', 0.444)]"
Good,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Miss darshita patel is very good servant at the store ,"[('patel', 0.5385), ('darshita', 0.4692), ('servant', 0.3849)]"
Good mehul,"[('mehul', 0.8098), ('good', 0.5719)]"
Nice,"[('nice', 1.0)]"
Good by firoz,"[('firoz', 0.6342), ('good', 0.357)]"
..,[]
Very ??  ,[]
You should provide atleast some discount for regular customer...,"[('discount', 0.5767), ('customer', 0.377), ('provide', 0.2603)]"
More collections observing market trends ita all good right now btw,"[('collections', 0.5227), ('trends', 0.476), ('market', 0.3521)]"
Please get 501 in your stores asap,"[('501', 0.6703), ('stores', 0.3523), ('asap', 0.282)]"
I have very good experience from Borivali Levi’s store  The Fashion Consultant Miral was helpful I like her service. Excellent job!,"[('fashion', 0.4201), ('borivali', 0.3709), ('levi', 0.3567)]"
Mr.Pinkal purohit is good to halp me out for my outfits.... Thank you so much Mr.Pinkal,"[('pinkal', 0.5713), ('purohit', 0.4793), ('outfits', 0.3728)]"
Good,"[('good', 1.0)]"
"Geeta, thank you for helping me out in my shopping.","[('helping', 0.3831), ('shopping', 0.3667), ('geeta', 0.2773)]"
Very good service and customer acknowledgement  ,"[('acknowledgement', 0.5319), ('service', 0.5296), ('customer', 0.5139)]"
Awesome ,"[('awesome', 1.0)]"
Good,"[('good', 1.0)]"
Z,[]
Good product,"[('product', 0.7059), ('good', 0.4907)]"
Nice service by Nikith,"[('service', 0.5159), ('nikith', 0.4745), ('nice', 0.1875)]"
Good collection and be passion to executive ,"[('executive', 0.562), ('collection', 0.4747), ('passion', 0.4278)]"
Good,"[('good', 1.0)]"
Cost ,"[('cost', 1.0)]"
Good salesman ,"[('salesman', 0.8743), ('good', 0.2943)]"
Ok,"[('ok', 1.0)]"
Good Abhishek ,"[('abhishek', 0.8155), ('good', 0.5079)]"
Good ,"[('good', 1.0)]"
Very good store,"[('store', 0.6718), ('good', 0.2731)]"
Good ,"[('good', 1.0)]"
It was an amazing experience here at the store ??,"[('experience', 0.3851), ('store', 0.3053), ('amazing', 0.183)]"
Nice experience ,"[('experience', 0.5535), ('nice', 0.4694)]"
Very good ,"[('good', 0.7071)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Came to buy one pair of jeans and k Esther sold me 2 n 2 T-shirt ,"[('jeans', 0.5198), ('esther', 0.4182), ('pair', 0.3943)]"
Very good collection ,"[('collection', 0.6643), ('good', 0.3414)]"
Good ,"[('good', 1.0)]"
Service provided by Gillian was very good!,"[('gillian', 0.5201), ('service', 0.4883), ('provided', 0.181)]"
All good,"[('good', 0.4393)]"
Fitting from thigh needs to increase in 40 W,"[('thigh', 0.4327), ('fitting', 0.3184), ('40', 0.3182)]"
Good experience...staff 's behaviour is also good ,"[('staff', 0.5424), ('experience', 0.468), ('behaviour', 0.2807)]"
U,[]
Happy,"[('happy', 1.0)]"
Good service,"[('service', 0.6827), ('good', 0.4384)]"
"Hemangi’s service was really very nice , she helped us a lot.","[('hemangi', 0.5597), ('service', 0.3052), ('helped', 0.2366)]"
Everything upto the mark,"[('mark', 0.5124), ('upto', 0.5114)]"
Use of pastel colour in product and bigger sizes in cargos and loose bottom wear,"[('cargos', 0.4318), ('wear', 0.4022), ('colour', 0.3758)]"
Good jolly ,"[('jolly', 0.8045), ('good', 0.4846)]"
Yaronsing....... Good and helpful.....,"[('yaronsing', 0.7408), ('helpful', 0.4085), ('good', 0.1762)]"
Excellent  by sonu bhai,"[('bhai', 0.5391), ('sonu', 0.3592), ('excellent', 0.284)]"
Dipika choudhary great experience ,"[('dipika', 0.6898), ('choudhary', 0.5386), ('experience', 0.3848)]"
Very good,"[('good', 0.7071)]"
Nothing hust name is inf…..,"[('inf', 0.7172), ('hust', 0.3681)]"
Good ???? ,"[('good', 0.4885)]"
Nice service ,"[('service', 0.607), ('nice', 0.401)]"
Very good staff,"[('staff', 0.7631), ('good', 0.2764)]"
Good service   ,"[('service', 0.6827), ('good', 0.4384)]"
It was good exp..To be in there  & have courteous staff  & treatment from Anand  ,"[('anand', 0.5635), ('treatment', 0.3482), ('courteous', 0.3352)]"
Good,"[('good', 1.0)]"
i m happy to come in  santcruz shop special supriya madam  ,"[('santcruz', 0.5346), ('supriya', 0.4601), ('shop', 0.449)]"
More sustainable approach ,"[('sustainable', 0.7513), ('approach', 0.5359)]"
Good feel happy ?? ,"[('happy', 0.5187), ('feel', 0.4498), ('good', 0.2994)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
,[]
Quality is good ,"[('quality', 0.8629), ('good', 0.3106)]"
Superb service at store,"[('service', 0.5401), ('superb', 0.5343), ('store', 0.4968)]"
very good ,"[('good', 0.7071)]"
Very good bhai raj Thank you,"[('bhai', 0.6989), ('raj', 0.5311), ('good', 0.2843)]"
Thnx,"[('thnx', 1.0)]"
Excellent service by shivraj. ,"[('shivraj', 0.6203), ('service', 0.4493), ('excellent', 0.3043)]"
Good service,"[('service', 0.6827), ('good', 0.4384)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
